Item title,Item link,Transcription,Translation,Image link
Book of Magical Charms,http://publications.newberry.org/transcribe/scripto/transcribe/5/177,"
+[cross]
Salomonis Vinculum 
Coniuro te . N. p[er] Y. V. et Y. et per ^[insertion mark] nomen Jaya [supralinear addition] et &lt;in&gt;
nomine Ya [corrected over Jaya], quod Adam nominavit et 
agnovit Dei omnipotentia&lt;m&gt;. Adiuro te in 
nomine in nomine Ya, et in nomine  Ya quod 
Abel nominavit et sacrificium eius erat acceptu[m] 
a Deo; et p[er] nomen El quod Enoch nominavit 
et obtinuit a Deo oleum misericordiae; et p[er] 
nomen Jah quod Enoch nominavit et cum 
Deo ambulavit; et p[er] nomen Duaphemion 
quod Moses nominavit et p[er]cussit terra[m] Egipti 
cum omni plaga praecepti divini, et p[er] nomen 
Agla quod Aaron nominavit, et meruit 
sum[m]us Sacerdos D[omi]ni vocari; et p[er] nomen Joth 
quod Moses nominavit, et meruit audire 
vocem Dei in flam[m]a loquentis; p[er] nomen Hagios 
quod Moses nominavit, et  Pascham celebravit;
p[er] nomen Jehovah p[er] quod Moses transivit et 
populus Dei p[er] mare rubrum; p[er] nomen Jaffa 
p[er] quod retrogradi Josuah fecit Solem 15. gradus; 
p[er] nomen Agios quod Samson nominavit et 
vicit Philisteos; p[er] O Theos p[er] quod muri Jericho 
ceciderunt. Adiuro te N, et p[er] virtutem Pantheon 
p[er] quod David vicit Golias&lt;;&gt;&gt; p[er] nomen Pantocrator
p[er] quod vicit David leonem et ursum; p[er] nomen 
[Hebrew letters:] IHVH, p[er] quod omnia legis sacrificia complebantur&lt;;&gt;
et p[er] nomen Agamon p[er] quod Heliah raptus est in
[catchword:] (curru igneo)
","Solomon's bond. 
I conjure you N., by Y. V. and Y. and by the name Jaya, and in the name of Ya, which Adam named and he knew the omnipotence of God. I adjure thee in the name in the name of Ya, and in the name of Ya, which Abel named, and his sacrifice was accepted by God; and by the name El, which Enoch named and and he received from God the oil of mercy; and by the name Jah which Enoch named and he walked with God; and by the name Duaphemion which Moses named and he struck the land of Egypt with every plague by divine order. And by the name Agia which Aaron named and he was worthy of being called the high priest of the Lord; and by the name Joth(?) which Moses named, and he was worthy to hear the voice of God speaking in the flame; by the name Hagios, which Moses named and he celebrated Passover; by the name Jehovah, by which Moses and the people of God crossed the Red Sea; by the name Jaffa by which Joshua make the sun go back 15 degrees; by the name Agios which Samson named and conquered the Philistines; by the name O Theos by which the walls of Jericho fell. I adjure you, N., and by the virtue of Pantheon through which David conquered Goliath; by the name Pantocrator by which David conquered the lion and bear; by the name IHVH, by which all the sacrifices of the law were accomplished; and by the name Agamon, through which Elijah was taken up in 
(a chariot of fire)

",http://publications.newberry.org/digital_exhibitions/files/original/case_ms_5017_005_o2.jpg
Book of Magical Charms,http://publications.newberry.org/transcribe/scripto/transcribe/5/178,"curro igneo; et per nomen Java per quod 
Helizeus spiritum Heli&#230; dupliciter recepis 
per nomen Emmanuel per quod Esaias propheravis 
de adventu Domini; per nomen Jesu absconditum 
a secculis, et in fine s&#230;culi revelatum.
Praecipio, Coniuro et adiuro te N. per hoc nomen 
sacratissimum El + et per omnia nomina Dei 
pradicta et subsequentia Sacratissima; ut 
mihi appareas et humiliter obedias sub pene 
Damnationis, et Excommunicationis &#230;tern&#230;.
Per nomen Iepheth per quod Salomon conclusit 
vos in pil&#230; &#230;neam; et per h&#230;c Sacratissima 
Dei nomina + Messias + Emmanuel + Sabaoth 
+ Adonay + Vsia + Homousion + Ioth + Gnath 
+ Fores + Grammaton + Agnus + Aries + Serpens 
+ Leo + Vitulus + Vermis + per nomen Est qui 
Est; et per omnia Mysteria in c&#230;lo et in terra.
Coniuro te N. per Sigillum et Pentaculum 
Salomonis, ut mihi apparens et veraciter 
respondeas, et velle meum adimpleas ad omnia 
pr&#230;cepta et Interrogata.
Quod si nolueris Maledicat te Deus Pater 
+ Vinciat te Deus filius + Eiiciat te Deus 
Spiritus Sanctus + Omnes Virtutes c&#230;lorum 
Angelorum, Archangelorum, Thronum, Dominationum, 
Principatuum Potestatuum cherubin, et Seraphin 
insurgant contra te.
Audi et Time sententiam Creatoris tui 
qui cuncta gubernat, triumphat vincit et 
per s&amp;Aelig;cula s&#230;culorum. Amen.

                                                            To
","a chariot of fire; and by the name Java, by which Elisha received the spirit of Elijah in twofold manner: aand by the name Emmanuel, by which Isaiah prophetised the coming of the Lord; by the name Jesus, hidden from all time and revealed at the end of time. I command, conjure and adjure you, N. by this very sacred name of El + and all the aforesaid and following very sacred names of God; for you to appear unto me and to humbly obey me, and that you should keep yourself in the almost under the condemned, of excommunication and eternal life. During the call Iepheth that Salomon has kept you on the ball scaffold; and, in this most holy name Emmanuel messiah of his star power and Vsia+ Homousios +Jod +Gnath doors +Grammatōn +Lamb + Serpens+Aries+Leo +cow + The worm, which is the name; and all the mysteries of the heavens and the earth. I call upon you, N. through the seal and the Pentacle of Solomon might have appeared to respond truthfully and fulfill my wish to all the rules and the interrogator. But if you refuse you, O God, curse the son of + you, O God the Father + abroad dressed you, O God the Holy Spirit, + You will all ye mighty Ones of heaven is at hand reject the notion of angels, archangels, thrones, dominions, principalities, powers, cherubim, seraphim, and they rise up against thee. Your lord who governs all things and Time Hear the opinion of the Creator, in triumph, victor overcomes them, and by means of sAelig; forever and saelig; and ever. Amen. to

",http://publications.newberry.org/digital_exhibitions/files/original/case_ms_5017_006_o2.jpg
Book of Magical Charms,http://publications.newberry.org/transcribe/scripto/transcribe/5/179,"In lib. primo Theologiae Mysticae cap. 55.
De virtutibus acquirendis 
Nulli interclusa est virtus; omnibus patet; 
omnes admittit; omnes invitat. Non colliget d[nium?] 
non censum; Homine niedo contenta est. Sed ut 
dicit Cassianus in Collationibus Patrum, quidam 
sic quaerunt a passionibus temperari ut nequaquam
velit dolores sustinere Martyrios; Sine quibus 
Desideria Spiritus possideri nequeunt. Absque carnis 
castigatione obtinere desiderant castimoniam. 
Sine labore vigiliarum acquirere puritatem. 
Cum requie carnis Spiritualibus exuberare 
virtutibus; [absque?] Convitij ullius exaperatione 
gratiam possidere Patientiae. Humilitatem 
Christi Sine mundani honoris exercere iactura; 
Religionis Simplicitatem cum Ambitione saeculi 
servare: Christo cum hominum laude et favore 
servire: postremo; sic volunt consequi bona futura 
ut non dimi[ttent?] praesentia. Quibus respondet Aug 
Via nostrae Christus est; Christum att[cuae?] pati venit 
sic et glorificare; contemni, sed et exaltari. Opus 
te terret; mercedem expecta. Quare vis [illigible]
delicatus ad carne rem ad quam nemo p[ro?]ducit insi [labor?] 
Nihil mirum si miseri homines non [adipiscimtur?] 
quod volunt 1. Vitam beatum: 2d enim cui comes est 
et sine quo [nemo?] ea dignus est 5. recte vivere non valione 
Haec aeterna lex incommutabili stabilitate firm[avir?] 
ut in voluntate mentum sit, in bonitate autem 
et malicia praemium adq supplicium. Sic autem somo 
ab humanis in divina dirigitur, cum summae voluntati 
Thoma voluntas praeponitur.
","In the first book of Theological Mysteries, chapter 55. 
On the Acquisition of Virtues
Virtue is closed to no one; it lies open to all;
It invites all; admits all. It does not collect [...]
nor a census; It is content with the bare human. But as 
Cassian says in the Collationes Patrum, a person
seeking to be so divided from passions that

",http://publications.newberry.org/digital_exhibitions/files/original/case_ms_5017_007_o2.jpg
Book of Magical Charms,http://publications.newberry.org/transcribe/scripto/transcribe/5/180,"To know what any [wod?] with thee
by the hower which they come
Yf any com to thee in the hower of 
☉. ♀. or ♃ they be good and profitable
But yf the houre of ♄ or ♂. leave 
their company: for they are naught.
Yf they com in the houre of ☿ they 
come to reason with thee or to have books or 
learning, or to ask thee a question 
Yf in the hower of ☾. they com to tell 
thee a lye or to deceive thee or to 
have thee in derision
[image: line across the page]
Signification of the Angles,
succedents and cadents 
In Judgmt of Tymes the Angles signify years 
the succedents moneths and the cadents day[s]
As yf in a Nativity the significator of life
it promiseth Health and longe life But 
in Questions it is otherwise for the 
Angles declare the readynes and god speed 
that is Dayes, howres, or weeks succede[??] 
weeks or moneths; the cadent moneths 
or yeares. /
....

",,http://publications.newberry.org/digital_exhibitions/files/original/case_ms_5017_008_o2.jpg
Book of Magical Charms,http://publications.newberry.org/transcribe/scripto/transcribe/5/181,"To have a Spirite in a Glass to tell all 
things they use first with a prayer to consecrate ^[illegible] 
being layd upon a cleane Towell,
Then they put five drops of hallowed oyle on 
five places of the Glass like a Cross: desiring 
of God by a short prayer that som spirit 
may enter into the Glass to resolve and answer 
them in all doubtfull occasions.
Afer [sic] they draw the five drops together 
like a cross and say  Per istam unctionem 
sit hoc speclum consecratum + Et benedictum + 
et sanctificatum + quod habeat perfectam potestatem 
ad demonstrandum nobis Angelos quos volumus 
in nomine + &amp;c.   Then make a sufflation 
and say  per istam [crossed out:&#160;??????&#160;???&#160;????????? consecratum] 
sufflationem descendat in hoc speculum 
virtus spiritus sancti, concitetur speculunm scientia 
repr&#230;sentandis ut spiritus exorciz impleat et ut 
dubia omnia et occulta reddantur perfecta et certa 
ut se imperasse gaudeat per ipsum Dominum qui vivis 
et imperas in s&#230;cula s&#230;culorum. Amen.
Then must the glass be washed and rubbed 
with crums of bread: which must be burnt in the fire 
and so the sufflation is made: The gladly 
he will appeare and answer to thy Asking.
Then they say before the Glass  Ne Truda, Truda, 
Normay instillator. Coniuro te Essleracon per 
nomen Belfalum per fantalinatis Lauta, per Cruelon 
istam magnam, per sufflentoam maximam, per 
S. Mariam Matrem Domini nostri Iesu Christi summa 
virgine nati, per beatam Mariam Magdalernam per beatam 
Margaretam per caput S. Io. Baptist&#230;, per Petrum et 
Paulam per virtutem Domini nostri Iesu Christi: ut in isto specule 
continuo ad omnia rogata respondeas.
by that thou shall have one saying mouth to mouth 
[an]d showing all that you will desire.
Take cleane mirore or mirrhor and virgin parchment 
[&amp;] wrap the glass therin, and write theis words on the 
Parchment Osmeny: Lis, Crebey.
....

",,http://publications.newberry.org/digital_exhibitions/files/original/case_ms_5017_009_o2.jpg
Book of Magical Charms,http://publications.newberry.org/transcribe/scripto/transcribe/5/182,"Asazel, Raphan, Oberian.

By the vortue of theis holie names, Ioth + 
Theos + Agla + Ozam + Deus + Eloy + which 
the Sea heard and retorned back and gave w[??] 
the Aire was fixed and set, the earth tremb[led,] 
the fier was quenched and all powers both 
celestiall and terrestriall did quake and 
were troubled. And by theis holy names 
of God On + Alpha et Omega + El + Elohim + 
Soter + Emmanuel + Sabaoth + Adonay + 
Egge + yaya + yeye + things are consecrated
[image: sword]
Salomon allwaies used a consecrated sword 
in the calling of Spiritts.
In the Ark of God the golden Ring was borne.
By the holy name of God Celeo + and vertue of 
Noe and all that were with him were preserued.

",,http://publications.newberry.org/digital_exhibitions/files/original/case_ms_5017_010_o2.jpg
Book of Magical Charms,http://publications.newberry.org/transcribe/scripto/transcribe/5/183,"These are instructions for how to activate this seal. This was copied from a Latin text of the Clavicula Salomonis. (copy's are available commercially this is easily traced and identified.
(Image:This symbol is a Seal known as ""The Mystical Seal of Solomon"" it is described in the Clavicula Salomonis  and is said to aide in combating the demons or djinn, which Solomon confined to his brazen urn.)
","Translation: 
This figure was taken (from teacher/mentor) Demetrius Daniel
and of the Seal and He said:
The power of the Seal is supreme and no harm shall come to he who wears it.
Write in virgin parchment the blood
of a lamb this seal.
Those spirits who see this seal, shall submit to the wearers will
their sword shall not pierce the skin, blood will not flow and all griefs subside.
Wear this {to] defend against Demons.

",http://publications.newberry.org/digital_exhibitions/files/original/case_ms_5017_011_o2.jpg
Book of Magical Charms,http://publications.newberry.org/transcribe/scripto/transcribe/5/184,"This figure notates in greater detail how to properly draw the sigil: The Mystical Figure or Solomon

",,http://publications.newberry.org/digital_exhibitions/files/original/case_ms_5017_012_o2.jpg
Book of Magical Charms,http://publications.newberry.org/transcribe/scripto/transcribe/5/185,"Regula Utilissima in Arte 
Magica
Coniurationis operatio debes esse cum Luna
sit crescens, et [par] nec combusta.
Operans sit puras et nitidus per nodem dies
ante incaptionem operis, confessus et comunicat
habeas fumigium assignat am diet, Aquam a
sacerate benedictam-, vas fictile novum aqua plenit
vestem, et pentaculum: et sint haec omnia [?] et
veste praeparata et consecrata.
Unus e discipulus ferat ignem et fumigationes
alius librum, alius vestem, et pentaculum;
Magister ferat gladium super quo dicatur [illegible]
Si [illegible]. In medio gladii scribatur Agla [cross symbol]
in alio tatere On [cross symbol]. Eundo ad locum conse-
crandum dicat [Litam?], et discipuli respondant.
Sit Circulus factus de Pergamante fixus in 
terram consecrates: tune aspergatur Aqua
benedicta et dicatur-Aspergas me Domine
[hisupes] et mundabor Lexibis me et supra
novem dealbabor.
Magister igities [?] castitate et ab
omnia lux et cibstimentia purificatus saltem
triduum tetum ante diem aperationis; die ante
ipso mundis vestibus mdutus cum pentaculis
fumigis et rebus ad hoc necessurus marcdietur
curcullum et a quatuor mundi partebus [illegible]
flexis dicet--O Michael, Gabriel, Samael, Raphael
Saeseal, Anael, et Cassiel, Angelicos omnes.
estute aurutures meue patritroni, et mihi [m abbreviation]
meis rebus auxilium ferte.
Per hos [?itur] Angelus omensc{abbreviation] Angelos Dei
vos spiritus quus invocare exorciz[?] intendo
et constringere, adiuro et contestor per sedem
Adonai [symbol] Hagios O Theos [?]scubros Atbanatores
Paracletus Alpha et Omega; et [symbol] hoec nomina [illegible]
Agla, On, Tettragramaton [?] quodens ut
","Useful rules in the Magical Arts
Conjuring work should be with a crescent moon, and equally not destroyed
The working is clean and bright through the knot (?) of the day
Before the beginning of the work, confess and ensure you have
Incense allotted to the day, Water of sacred blessing, a clay vessel filled with new (fresh?) water
a robe, and a pentacle: and they are this all [illegible] and
[illegible] by means of preparation and consecration.
One student brings the fire and incense,
Another the book, another the robe, and pentacle;
The leader brings a sword over which is spoken [illegible]

",http://publications.newberry.org/digital_exhibitions/files/original/case_ms_5017_013_o2.jpg
Book of Magical Charms,http://publications.newberry.org/transcribe/scripto/transcribe/5/186,"

",,http://publications.newberry.org/digital_exhibitions/files/original/case_ms_5017_014_o2.jpg
