Item title,Item link,Transcription,Translation,Image link
Calligraphic commonplace-book,http://publications.newberry.org/transcribe/scripto/transcribe/45/22564,"MAGNA
CHARTA DE LIBERTATIBVS
MVNDI
Jesus Christ his Charter great
That Bloud &amp; water soe did sweat
And had his heart wounded sore
To save mankind for evermore
Christ canceld th writing of ma[n's] debt
And by his great char[ter] him free sett
Sciant Presentes et Futurye, Wett nowe all that
be heare and after shall beleave and deare That I
Jesus of Nazareth For the love of Man hath Suf
fred death upon the crosse with wounds fine whil[s]t
tha[t] I was man one [illegible] dedy et confefsi I have +
given and made a graunt To all that aske it repe[n]
taunt habendum heavens bliss without ending As
long as that I am their king Redendo keepe I no more
for all my smart But the true love of thyne owne
heart and that thou be in Charitie And love thy nei
ghbour as I love thee This is the rent thou shalt
give mee As to the Cheife Lord of the fee Warran=
nzatio If any man shall Saye nowe That I not dyed
for mans prowe Rather then man should be folorne
yet would I est be all to torne In cuius reitesti moni
um In witnes of the which thinge Myne one seale
there to I hinge And for the more of Sickernes The
wound in my side the seale it is Datum apud Je=
rusalem This was given at Calverie The first day
of the great mercye hiis testibus wittnes the day yt
turnd to night and the Sune that then withdrew
his light wittnes the earth that then did quake and
stones great that in sunder brake wittnes ye vaile
that then did rive And men that rose from dead
to live wittnes my Mother and Sainct John.
And other that were there many a one FINIS
","GREAT
PAPER OF FREEDOM
WORLD

",http://publications.newberry.org/transcribe/files/imports/wing_ms_ZW_5451_001c/wing_ms_ZW_5451_001c_005_o2.jpg
Calligraphic commonplace-book,http://publications.newberry.org/transcribe/scripto/transcribe/45/22565,"[image: concentric circles, possibly the known planet orbits?]
DE
CHRISTO ET MARIA
VERGINA
A God and yet a man
witt wonder how wit [caim?]
A God &amp; [caim?] hee dye -
wt wit ca' well replye
A mayd &amp; yet a mother
c◌̌[n]ceyve this or ye other
a dead ma[n] ca[n] he live
nor reason; reaso[n] give
Gods truth doth playnly teach it
mans witt seeke to har und[er]
By reasons power to reache it
Beleeve &amp; seace to wonder.
Sapientia dei Jurisprentia coram hominibus FINIS
[image: concentric circles, possibly the known planet orbits plus moon?]
[illegible] Souls [illegible] must not doubt
[illegible] aboat
[illegible]
Thou rose [illegible]
[illegible]
[illegible]
[illegible]
[illegible]
[illegible] made!
[illegible] bade!
[illegible]
[illegible]
[illegible]
[illegible]
",,http://publications.newberry.org/transcribe/files/imports/wing_ms_ZW_5451_001c/wing_ms_ZW_5451_001c_006_o2.jpg
Calligraphic commonplace-book,http://publications.newberry.org/transcribe/scripto/transcribe/45/22566,"PASSIO DOM:
Deere Saviour Sweet, sweet was thy deere compaSsi◌̌
Deerely exprest in that most bitter passion
When whipt and Scourg'd yu mildly Sufferedst
To feed one torments drunck viniger and Gall
Suffer the Crowne of Thornes impale thy brayne
which downe thy cheekes forced shewes of blood to rayn
Suffered the peircing launce that like a flood
Forced from thy syde wounded thy precious blood
Nayld one the crosse more thou didst suffer yet
In that feirce agonye and bloudye Swete
Then then &amp; then thy torments did begynne
Loaded wth mans hugh ponderous weight of syñ
At which the mazed earth with horror Shooke
Darknes Possest the worlde daye light forsooke
Her wanted course ye Sun then changed to blood
At death of him that was Soe wondrous good
Divells quakt, hell roard with Admiration
At the Great En: the power of our Salvation
Noe tonge, noe pen, noe witt of man can tell
Thy Tormentes they exceed ye paines in hell
All for ungratefull miserable man
Are not wee bound to feare and prayse him than
O yes to Spend our houres our dayes and yeeres
In true repentant floods &amp; Showes of teeres
FINIS
RESUREC: DO:
Blest blest Oh blest be that divinitye
That sacred power Alpotent Majestye
Whose wounderous goodnes glorious resurectiõ
Restord us lost to grace: (oh rare perfectiõ)
Admir'd immortall blessed Trinytye
Three Sacred personns God in vnitye
To whom triumphant Alliluia Singe
Singe Alliluia unto heavens kinge
FINIS
","PASSION TO THE GREATEST AND BEST GOD:

",http://publications.newberry.org/transcribe/files/imports/wing_ms_ZW_5451_001c/wing_ms_ZW_5451_001c_007_o2.jpg
Calligraphic commonplace-book,http://publications.newberry.org/transcribe/scripto/transcribe/45/22567,"DE CHRISTo
witt hath wonder that reason not tell can
A mayde to be a Mother &amp; god to be a man
Leave wee ye reason &amp; beleeve we ye wond[er]
For faith is above and reason is under.
Thinke and thanke God
Sibilla
Delphica of our
Ladye
Th'inspired maide ye sent in to ye light
Fro virgins brests th'eternall father's heyre
Unto perplexed nature giues affright
yt heav'n p[ar]takes of earth &amp; chast wombs beare
",,http://publications.newberry.org/transcribe/files/imports/wing_ms_ZW_5451_001c/wing_ms_ZW_5451_001c_008_o2.jpg
Calligraphic commonplace-book,http://publications.newberry.org/transcribe/scripto/transcribe/45/22568,"Beholde O God IN RIvers of my Teares
I come to thee: bowe downe thy blessed eares
To heare mee wretche. and lett thyne eyes which sleepe
yet never closd, beholde a sinner weepe
Let not O GOD MY GOD my faults though great
And numberlesse bee tWeene thy mercyes seate
And my poore soule bee tHrowne since we are taught
Yu LORD REMEBrest thYne IF THOU Be sought
I coME not Lord witH anye oTHEr merritt
Then WHat I by my sAviour CHrist inherritt
Bee thEN his woundeS my balme his stRIpes my blisse
My crowne his THornes my DeaTh be loST in his!
And thOU my bless T Redeemer SAviour, God, 
Quitt my acCOmpts! withHolde the VEngefull Rodd!
O begge for ME my hOpes on Thee are sett,
And ChriSTE forgiVe as well as pay tHe debt.
The livINg font, ye liFe, the waYe I knowe,
And but TO Thee O whither Should I goe!
All oTher helps aRe vayne grantE thyne to mee
For in tHY Crosse my Savinge heaLth must bee,
O hearKen then whAt I with Faith implore
Least sINne &amp; death sincKe mee for Evermore
Lastlye o God my wayEs directe And guyde,
In Deathe defeNd me that I Never slyde
And at ye DoOMe let Me be rayseD, Then
To livE with theE sweet JessUSs aye  amen
[in Red/mostly vertical]:
Lord remember me when thou comest into thy kingdom
O God My God Why hast thou forsaken me
If thou be the christ save thyself and us
amen
","[in Red/mostly vertical]:
Lord remember me when thou comest into thy kingdom
O God My God Why hast thou forsaken me
If thou be the christ save thyself and us
amen
Beholde O God IN RI [Jesus the Nazarene, King of the Jews] uers [verse?] of my teares
I come to thee: bowe downe thy blessed eares
to heare mee wretche. and lett thyne eyes which sleepe
yet never closd, behold a sinner weepe
let not O GOD MY GOD my faults though great
and numberlesse bee tweene the mercies seat
and my poore soul be thrown! Since we are taught
Yu Lord remeberest thyne if thou be sought
I come not Lord with anye other merritt
then what I by my savior christ inherritt 
Bee then his wounds my balm his stripes my bliss
My crown his thorns my death be lost in his!
And thou[gh] my blesst Redeemer Saviour, God, 
Quitt my accompts! withholde the vengefull rodd!
O begge for me my hopes on thee are sett,
And Christe forgive as well as pay the debt.
The living fout [fought?], ye life, the waye I knowe,
And but to thee O whither should I goe!
All other helps are vayne [vain] grante thyne to mee
For in thy crosse my [saumge?] health must bee,
O hearken then what I with faith implore
Least sinne &amp; death sincke [sink] mee for evermore
Lastlye o God my wayes directe and guyde,
In deathe defend me that I never slyde
And at ye doome let me be raysed, Then
To live with thee sweet Jessus saye  amen

",http://publications.newberry.org/transcribe/files/imports/wing_ms_ZW_5451_001c/wing_ms_ZW_5451_001c_009_o2.jpg
Calligraphic commonplace-book,http://publications.newberry.org/transcribe/scripto/transcribe/45/22569,"An
Answere to ri Tichborne
who
was executed in wth Babingtõ[n]
Thy flower of youth is with a north wind blessed
thy feast of Joye, is an Idea found
Thy corne is shed, thy untimely harvest wasted
thy good in ill, thy hope in hurt as wasted
Darke was thy daye &amp; shadow was thy sun
And by such lights, thy life untymely spun
Thy tale was nought thy oratory told
thy fruite is rotten &amp; thy leaves are gone
Thy selfe wert young in yeares in tyme growne
the world accoumpts thee not worth thinking on old
Thy thred's not cutt nor spun, but broken
Soe let thy heart, though yet it be but open
Thou soughts thy death and foundst it in desert
thou lookest for life, yet leudly [foet?] it fade
Thou trodst on Earth, &amp; now in Earth thou art
and men may wish that yu hadst nere bine borne
Thy glorye and thy glase are tymeless ruine
wch (O unhappye man) by thy selfe was donne
Finis
",,http://publications.newberry.org/transcribe/files/imports/wing_ms_ZW_5451_001c/wing_ms_ZW_5451_001c_010_o2.jpg
Calligraphic commonplace-book,http://publications.newberry.org/transcribe/scripto/transcribe/45/22570,"Docter Latworthes Invocatiõ
Spiritt divine the comon knott whereby
The Father and the Sonne do love togither
ffor Sonne and Father universallye
Are love though love be prop unto neither
Thou that from both proceedest And frò none
unequallye [crossed out:  but] with like Authoritye
As from one Princypall yet from the one
princypallye and yet without priority
one, all the first from two the last of thre
Sweete brith that joyest every pensive hart
Breathed from God, O God breath into mee
Skill above Skill and shew me wh yu [which you] art
The last of three &amp; yet all three soe cast
That of all three there is no, first nor last,
FINIS 
Rise O my soule, with thy desires to heaven
and with deuinest contemplations use
Thy tyme, where tymes eternitye is given
Nor let vayne thoughts, noe more thy thoughts abuse
But downe in darknes, let them lye
Soe live thy better, let thy worse thoughts dye
And though my soule, inspired with holy flame
vewe and reuewe, with most regardfull eye
That holy crosse, whence thy salvacion came
whereon thy saviour, and thy sinne did dye
for in that sacred object is such pleasure
That in that saviour is my life and treasure
To thee, O Jesus, I derect myne eyes
to thee, my handes, my humble knees
To thee, my Harte, shall offer sacrifies
to thee my thoughts, my thoughts, who only sees
To thee, my selfe, my selfe, and all I give,
To thee, I dye, to thee. I onelye liue Hu[I]us
",,http://publications.newberry.org/transcribe/files/imports/wing_ms_ZW_5451_001c/wing_ms_ZW_5451_001c_011_o2.jpg
Calligraphic commonplace-book,http://publications.newberry.org/transcribe/scripto/transcribe/45/22571,"Docter
Batworth upon his
death bed
My God I speake it from a full assurance
ffaith shall avoid clayme by appropriation
My God that holds my spirrit debter in duraunce
ffettered with sinne, and shackled with temptation
Deare for thy mercye soone enlarge mee
not sinne, not hell, not ought beside shall [charge?] mee
My soule maye now become unto her maker
Maker of her, but not of her infection.
ffor that's her [alone?] when Gods love doth forsake her
ffinall forsakinge is not in election 
ffor whereby grace, God once shall make his dwellinge
There maye bee smityng but there is noe fellinge
Earth what art thou? A Poynt, a senclelse Centure
ffreinds what are you? An ages trusted tryall
Life what art thou? A dailye doubtfull venture
Death what art yu? A better lifes repiall
fflesh wt art yu? A loose untempered morter
Sickness what art thou. heavens churlish porter
Sweet Jesu bidd they porter then admitte mee
I hold this life and lives delight in loathinge
I fought be one my back that doth not fill mee
Stripp mee of all, &amp; give mee bridall, clothinge
Soe shall I bee received by mee Liveris
And prisoner soule shall joye at jaile-delivry
Doct: Batworth in Hibernia interfectus
FINIS
","

FINIS
Doct: Batworth in Ireland killed

",http://publications.newberry.org/transcribe/files/imports/wing_ms_ZW_5451_001c/wing_ms_ZW_5451_001c_012_o2.jpg
Calligraphic commonplace-book,http://publications.newberry.org/transcribe/scripto/transcribe/45/22572,"[in pencil: Lee Dibdini Amer IV p 87]
If anye be distrest and fayne would gather
some comforte lett him hast unto } our Father
For wee of hope and health are all Bereaven
except thou favour us } which art in heaven
Thou shewest mercye, therefore for the same
wee praise thee singing } Hallowed be thy name
Of all our missery cast upp the some
shew us thy Joyes and let } Thy Kingdom come
Wee mortall are, and alter from our birth
thou constant art } Thy wilbe don on earth
Thou madest the earth as well as planets seaven
thy name be blessed Heere } As tis in heaven
Nothing wee have to us our Debts to paie
excepte thou Givest us } Give us this daye
Wherewith to cloth us, wherewith to be feed
for without thee we want } Our dalye Bread
Wee want but want no faulte for no day passes
but we doe sinne } forgive us o' trespasses
Noe man from sinning ever free did live
for give us lord our sinnes } As wee forgive
If wee repent our faults thou neer disdainst us
wee pardon }Them y'trespsdo ag:us
Forgive us that is past a newe path tread us
direct us allwaies in thy faith }And lead us
As thyne own people &amp; thy chasen Nation
into all truth and } Not into temptation
Thou that of all good graces art the giver
suffer us not to wander } But deliver
Us from the Stronge assaulte of world&amp;divell
and flesh soe shalt thou free }us from all evell
To this petition let both Church and Laymen
[wthon consentof?] harth voyce saye Amen
FINIS
",,http://publications.newberry.org/transcribe/files/imports/wing_ms_ZW_5451_001c/wing_ms_ZW_5451_001c_013_o2.jpg
Calligraphic commonplace-book,http://publications.newberry.org/transcribe/scripto/transcribe/45/22573,"William Strachie
Twas the trumpe of death that blew
my houre is come falle worlde adeiue
Thy pleasures have betray'd mee soe
That I to death untimely goe &amp;
ffor Death's the punnishmet of sinne
And of all creatures I have binne
The most ingratefull wicked one
That ere the heavens did shine upon
I have sin'd against Earth &amp; heaven
early by daye late in the even
All manner sinnes all manner wayes
I have comitted in my dayes xx
Hell and hellfire is my due
O but deere shrift I humby sue
Thy Blood may wash my red soule n[?]
mercy and Judgement's thy delight.
At which mercy gate I knocke
Get sobes and sighes the same unlock
Prostrate I fall &amp; begg for grace
O doe not turne awaye thy face
My crying sinnes beate at they throne
Once bowe the Seauen's look donne upo
A wretch more outhonne with greif
That beggs for mercye not for life
FINIS
",,http://publications.newberry.org/transcribe/files/imports/wing_ms_ZW_5451_001c/wing_ms_ZW_5451_001c_014_o2.jpg
