Item title,Item link,Transcription,Image link
Cases of conscience concerning witchcrafts,http://publications.newberry.org/transcribe/scripto/transcribe/42/22310,"[front cover]



",http://publications.newberry.org/transcribe/files/imports/case_ms_b_8884_558_01_o3.jpg
Cases of conscience concerning witchcrafts,http://publications.newberry.org/transcribe/scripto/transcribe/42/22316,"an Evidence supposed to Go in the Testimony =
which is throwly to be Weighed, &amp; if it does
not infallibly prove the Crime against the 
person accused, it ought not to determine 
him guilty of it for So righteous men may 
be condemned unjustly. In case of Witchcraft
we know that the Divel [capital D written over lowercase d] is the immediate Agent 
in the mischief done, the Consent or Compact of 
the witch is the thing to be demonstrated.
Among many Arguments to Evince this that 
which is most under present debate, is that 
which refers to Something vulgarly called Spec-
tre evidence [Spectre evidence is underlined] and a certain sort of ordeal [ordeal is in a different script]
or try all by the Sight and Touch. The princi-
pal plea to Justife the Convictive evidence of [written over 'again'] 
those is fetched from the Consideration of the wis=[symbol similar to trinity knot below line] 
dome and Justice of God in Governing the works 
which they Suppose would fail if such things
were permitted to befall an inocent person. 
but it is Certain that too resolute conclusi-
ons drawn from Hence, are bold usurpations 
upon Spotless Soveraignty [word is underlined], &amp; tho Somethings 
if Suffered to be common would subvert this 
Government &amp; disband yea ruine Humane 
Society; yet God doth sometime suffer such 
things.



",http://publications.newberry.org/transcribe/files/imports/case_ms_b_8884_558_07_o3.jpg
Cases of conscience concerning witchcrafts,http://publications.newberry.org/transcribe/scripto/transcribe/42/22317,"things to evene, that wee may therby know ^how
much wee are beholden to him for that re=
straint which he Layes upon the Infernal
Spirits who would else reduce a world into
a Chaos. That the resolution of such Cases as
these [crossed out word] is proper for the Servts of Christ in
the ministry cannot be denied. The reaso=
nableness of doing it now, will be Justified
by the Consideration of the necessity ther is at
this time of a right information of mens Judg=
ments about these things and the danger of
their being misinformed.
The Reverend Learned [crossed out semicolon] and Judicious Au=
thor of the Ensueing Cases, is too well known
to need our Commendation: All that wee
are concerned in is to assert our consent to
and Concurrence with [crossed out and written over] the Substance of
what is Contained in the following discourse
and with our hearty requests to God, that
he would discover the depths of this Hel=
lish design, direct in the whole ma=
nagement of this affair, Prevent the
taking any wrong Steps in this dark=
way. and that he would in perticular



",http://publications.newberry.org/transcribe/files/imports/case_ms_b_8884_558_08_o3.jpg
Cases of conscience concerning witchcrafts,http://publications.newberry.org/transcribe/scripto/transcribe/42/22318,"bless those faith full endeavors of his
Serv^t to that end, wee commend it and
you to his Divine Benediction. [looping flourish]
(1) Charles Matson.
(2) Michael Wigglesworth.
(3) John Bayly.
(4) Samuel Whiting.
(5) Jabez Fox
(6) Samuel Angier
(7) Nehemiah Walter.
(8) James Allen
(9) Samll. Willard:
(10) William Hubbard.
(11) Samuel Phillips
(12) Joseph Gerrish.
(13) John Wisell
(14) Joseph Capen
[lower left, different hand]
(1) Charles Morton
(2) Michael Wigglesworth
(3) John Bayly
(4) Samuel Whiting
(5) Jabez Fox
(6) Samuel Augier
(7) Nehemiah Walter
(8) James Allen
(9) Samuel Willard
(10) William Hubbard. Author of the Early Indian Wars in N.E. also A. Hist. of N. Eng.
&amp;
(11) Samuel Phillips
(12) Joseph Gerresh [corrected from Geresh]
(13) John Wise
(14) Joseph Capen



",http://publications.newberry.org/transcribe/files/imports/case_ms_b_8884_558_09_o3.jpg
Cases of conscience concerning witchcrafts,http://publications.newberry.org/transcribe/scripto/transcribe/42/22320,"The contents
The first case considered, whether Satan may not possibly 
appear in the shape of an innocent and pious, as well as of 
a nocent and wicked person, to afflict such as suffer by 
Diabolical molestations. The Affirmative proved by six 
arguments. Arg 1. From [crossed out word] Several Scriptures. p.1. to 11. 
Arg.2. Because it is possible for the devill in the shape of 
an innocent person to do other mischiefs. proved by many instances. p.11 to 15.
Arg.3. Because if Satan may not Represent an inocent person as afflicting others, it must be Either because hee wants will, or Power to do thus, or because the holy God will never Permit him to do it . None of wch may be affirmed. p.15. to 22.
Arg.4. It is certayn both from Scripture [2 crossed out words] History that magicians by their inchantments, &amp; hellishe conjurations, may cause a false Representation of persons &amp; things. p. 22 to 26.
Arg.5. From the concurring judgement of many learned &amp; judicious men. p.26 to 29.
Arg 6. [or?][o^er] owne experience has confirmed ye truth of what wee affirm. 29.
The second case confirmed, viz. If one bewitched is struck down at ye Looke or call or the ey of another, &amp; after yt recovered again by a touch from ye same person, whether this is not an infallible proof that ye party suspected, &amp; complained of is in league wth the Devill? Ans. This may be ground of suspicion &amp; examination, but not of conviction. p. 30. 
The Judgement of Mr Barnard [underlined] &amp; Doctor [Coffa? underlined] [Cotter? underlined] produced. 
p. 31, 32. Several things offered against the infallible, Gility of this proof. 1 - It is possible &amp; probable yt ye Persons in Question may be posessed wth Lying Spirits G. V. 33, 3[number scratched out]
2. Falling down wth ye case of ye ey proceede not from a natural but an Arbitrary cause .p. 35.
3. That of the bewitched persons being recovered with a Touch is various &amp; fallible .p.36, 37.



",http://publications.newberry.org/transcribe/files/imports/case_ms_b_8884_558_11_o3.jpg
Cases of conscience concerning witchcrafts,http://publications.newberry.org/transcribe/scripto/transcribe/42/22321,"4. Some question ye Lawfullness of the experiment. p.39.
5.The testimony of bewitched or possessed persons, is no
legal evidence as to what they [see?] concerning others, so 
[persons?] not as to themselves. p.41
6.Nothing can be produced out of ye word of God to 
shew that this is any proof of witchcraft. p.42
The Third case considered, viz. whether these are
any discoveries of witchcraft w^ch jurors and judges may 
with a safe conscience proceed upon to ye conviction &amp; 
condemnation of persons under suspicion. 
Two things premised. 1. That ye Evidence in this crime [word crossed out] 
of Witchcraft ought to be as clear as in any other crimes [word crossed out] 
of a capital nature. p. 43.
2. That there have bin wayes of Trying witches long used 
wch God never approved of, particularly yt of casting the
suspected party into ye water to try whether they would sink 
or swim. The vanity and great sin wch is [word crossed out] in that way 
of purgation evinced by six reasons. p. 45 to 48.
That yr are proofs for ye conviction of witches which 
jurors may wth a safe conscience proceed upon, proved 
from scripture p. 48, 49.
that a free &amp; voluntary confession is a sufficient 
ground of conviction. p. 49.
That the Testimony of confessing witches against others 
is not so clear an evidence as against themselves. p. 51.
That if two credible persons shall affirm upon oath 
that they have seen ye party accused, doing such things 
wch none but such as have Familiarity wth ye Devill, 
ever did or can do, that's a sufficient ground of 
conviction, &amp; yt this has often hapned. p 53.  
wt Perkins [underlined] his solemn caution to jurors. p. 54.



",http://publications.newberry.org/transcribe/files/imports/case_ms_b_8884_558_12_o3.jpg
Cases of conscience concerning witchcrafts,http://publications.newberry.org/transcribe/scripto/transcribe/42/22322,"The first _case_ which I am desired to express 
my judgmen^t in, is this, _Whether it is not 
possible for the Divel to impose on the im
aginations of persons bewitched and 
to cause them to beleive y^t an Inocent, yea
that a pious person does torment them = 
when y^e Div^l himself doth it, or whether 
Satan may not appear in the shape of a 
pious &amp; Inocent as well as in the shape of a 
nocent &amp; wicked person to afflict such as 
suffer - by Diabolical molestations?_
The _Answer_ to the Question must be _Affirma
tive._ Let the following Arguments bee duely=
weighed in the Ballance of the Sanctuary. 
Argum. 1. Ther are severall Scriptures

from which wee may infer the possibility of 

what is affirmed. 1. Wee find _that the Divel 
by the instigation of the witch at Endor ap=
peard in the Likeness of the Prophet Samuel. 
I am not Ignorant that some have offered that 
which if it were proved would evert this ar=
gum^t viz: that it was the true and [scratched out word] not a de=
lusive Samuel which the witch brought to 
converse with Saul. Of this Opinion are



",http://publications.newberry.org/transcribe/files/imports/case_ms_b_8884_558_13_o3.jpg
Cases of conscience concerning witchcrafts,http://publications.newberry.org/transcribe/scripto/transcribe/42/22323,"Some of the Jewish Rabbies (a) &amp; some Chrisan 
Doctors (b) and many Late Popish (c) authors amongst 
whom _Corn-a-Lapide (d) is most Elaborate. but that 
it was a [underlined] Demon [underlined] representing Samuel hath been 
Evinced by Learned and Orthodox Writers Especially by _Peter Martyr_, (f) _Balduinus_, ([crossed out letter]) _Lavater_, &amp; our in=
comparable (g) _John Rainold_. I shall not here insist on
hearing of that, Especially considering that (h) elsewhere 
I have done it. Only lett me now add that ye witch 
said to Saul I [word crossed out] see [underlined] Elohim.[underlined] (i.e) [underlined]a God[underlined] (for the whole 
Context shews that a Single person is intended) [underlined] ascend=
ing out of the Earth [underlined]; 1 Sam^ll [illegible] 13. the Divel would 
be worshipped as a God and Saul now that ^hee was become 
a [underlined] Necromancer [underlined] must bow to him. Moreover, had 
it been the true Samuel from Heaven Reprehend=
ing Saul, thers great reason to think that he would 
not only have reproved him for his sin in not exe=
cuting judgem^t on the Amalekites as in vs. 18. but 
for his wickedness in Consulting w^th familiar Spirits; for 
which Sin it was in Speciall that he dyed Chron.10.15 
but in as much as ther is not one word to testifie ag^st 
that abomination wee may conclude that twas 
not real Sam^el that appeard to Saul. and if it were 
the Divel in his likeness the argument seems very

strong, that if the Divel may appear in the forme of 

a Saint in glory much more is it possible for him to 
put on the likness of the most pious &amp; inocent saint on
[Notes in the margins]:
(a) R. Saadia, R. Eleazar, R: Athias, Lyrzanus, Sic &amp; Joseph
(b) Ambrose &amp; Hierom Basil, Nazianzen.
(c) Thom[a]s, Tostatus, Suarez, Cajetan.
(d) In Ecclesiastic. cap. 46 vs. 23. 
(f) In 2 Cor. 11 p. 555
(g) In libr. Apocryph.
(h) Remark. provid. p. 211



",http://publications.newberry.org/transcribe/files/imports/case_ms_b_8884_558_14_o3.jpg
Cases of conscience concerning witchcrafts,http://publications.newberry.org/transcribe/scripto/transcribe/42/22324,"Earth. xx _But not_ (say some) _as doing evil_, whereas 
the Divel in Samuel's Likeness told a pernicious Lye, 
when he said _thou hast disquieted mee_. It was not 
in the pow^r of Saul nor all the Divels in Hell to dis=
quiet a soul in heaven, wher Sam^ll had been for two 
years before this apparition. nor did the _Spectre_ 
speak true when he said _thou and thy sons shall be w^th 
me. Tho Saul himself went to be with the Divel at 
his death, his son Jonathan did not so. Besides (which 
suits with the matt^r in hand]) the Divel in Sam^lls shape 
Confirmed necromancy [underlined] &amp; cursed Witchery [underlined]. He that can 
in the likeness of ^a Saints, encourage witchery and 
Familiarity with Hell, may possibly in the Like=
ness of a Saint afflict a Bewitched Person. And  
wheras tis Objected that this Divel may appear 
in the form of a Dead Person but that he can not 
Represent such as are Living, the Contrary is ma
nefest. No Question had Saul said to the witch bring 
me David who was then Living She could Easily- 
have shown Living David as [word scratched out] Dead Sam^l. As easi
ly as that great Conjurer of whom ^t _Wicrys_[?] speaks 
brought the appearance of _Hector &amp; Achilles_ &amp; after 
that of _David_ before the Emperour _Maximilian_ . 
and that evil spirits have sometimes appeared in
[in margin]
3 There are who acknowledge a Demon [underlined] may apear in ye shape of a godly man
[obscured by tape] fre [?] preshigys [?] damonum [?] L.1. C. 15.



",http://publications.newberry.org/transcribe/files/imports/case_ms_b_8884_558_15_o3.jpg
Cases of conscience concerning witchcrafts,http://publications.newberry.org/transcribe/scripto/transcribe/42/22325,"Likeness of living absent persons is a thing abundantly confirmed in History. (1) Austin [underlined] tells us of [crossed out] one that went ^to a philosopher for resolution in some intricate Questions, [crossed out] of whome he could gett no answer, but in the night the philosopher comes to him and resolves all his Doubts: not Long after he demanded why he could not answer him in the day as well as in the night, the philosopher professed that he was not with him in the night but that he dreamed of his having such conversation w^th his friend, but he was all the time at home asleep. Paulus and Palladias [underlined] did both of them profess to Austin that one in his Shape at Diverse times &amp; in Diverse places had appeared to them. (K) Thyraus mentions severall apparitions of [Severall crossed out] absent living persons. which hapened in his time and which he had the certain knowledge of A man that is in one place cannot [Greek letters: άυτοπςοδώπως ] at the same time be in another. It remains[ing crossed out] then that such Spectres [underlined] are prodigious and Supernaturall and not w^thout Diabolicall Operations, It has been controverted among Learned men whether inocent persons by the deluding power and malice of the Divel may not be represented as present among witches at their dark assemblyes. The mentioned Thyraus sayes that the Divel may and often does represent the
[margin]
4)
de avit. Ibi.
(k) de spirituum apparitionily lib. 2. c. 7



",http://publications.newberry.org/transcribe/files/imports/case_ms_b_8884_558_16_o3.jpg
