Item title,Item link,Transcription,Translation,Image link
Commonplace-book,http://publications.newberry.org/transcribe/scripto/transcribe/7/637,"Binding with No Text
",,http://publications.newberry.org/transcribe/files/original/case_ms_a15_179_0001_o2.jpg
Commonplace-book,http://publications.newberry.org/transcribe/scripto/transcribe/7/641,"[by a later hand] * K1634-131-1939  Gi
[the middle of the page has been used for addition exercises in fainter pencil]
[first column, left hand side]
A
Artes     3
Animata     12
Arma Deoxum     17
Apparell     30
Accidentes     31
Amarosa     67
Affabilety     81
B
Bastardes     35
Thinges not Brooked     44
Buildinges     50
Burialls     54
C
Ciuitates 14
Children 35
Coynes 73
Cleargy 83
[second column, right hand side]
D
Deoxum arma 17
Dates of Ye Lorde 18
Differences 41
Death 54
Drinke 61
Divitiae 71
Dreames 76
E
Excellencyes 27
F
Feminae 7
Forgery 23
Fantasticall 55
Factions 63
G
Graces particular 8
Gentes 21
Games 52
","(This would've been the Table of Contents/Directory for the book)
A
Arts     3
Spirits [or Souls]     12
Arms of the Gods     17
Apparel     30
Accidents     31

B
Bastards     35
Things not tolerated     44
Buildings     50
Burials     54

C
States [Cities]    14
Children     35
Coins     73
Clergy     83

D
Arms of the Gods     17
Dates of the Lord     18
Differences     41
Death     54
Drink     61
Riches     71
Dreams     76

E
Excellences     27

F
Women     7
Forgery     23
Fantastical     55
Factions     63

G
Graces particular
Peoples/nations     21
Games     72



",http://publications.newberry.org/transcribe/files/original/case_ms_a15_179_0005_o2.jpg
Commonplace-book,http://publications.newberry.org/transcribe/scripto/transcribe/7/642,"[first column, left hand side]
H 
Historia 5 
Heraldry 16 
Homo 69
I 
Imperfections 1 
Imitatores 10 
Iuramenta 26
Inventions 60
K
L 
Leges 20 
Liknes of Vismony 33 
Learninge 41 
Liberality 52 
Lapides precioses [pehoj] 87
[second column, right hand side]
M 
Musica 51 
Memoria 34
Mariage 35 
Mechanica 45 
Martiall 48 
Mors 54 
Meate 61 
Moralis philosophia 64 
Mare 68 
Measures 73 
Miracula 80
N
Nomina [crossed out: names] 53 
Numbers 73 
Nomina 85.
O 
Oeconomica 19 
Ominosa 66 
Oratoria 82
","H
History 5
Heraldry 16
Man 69
I
Imperfections 1
Imitations 10
Vow or Oath 26
Inventions. 60
K
L
Laws. 20



",http://publications.newberry.org/transcribe/files/original/case_ms_a15_179_0006_o2.jpg
Commonplace-book,http://publications.newberry.org/transcribe/scripto/transcribe/7/643,"[first column, left hand side]
P
particular graces 8
philosophi 11
poetry 24
proper termes 25
parentes 35
politica 37
philosophia naturalis 46
politica 57
phisick 62
philosophia moralis 64
philosophia naturalis 65
prophetica 66
playes 72
pantomimus 75
Q
R
Resemblances 29
Riddles 56
Regalia 57
Regiones 58
Riches 71
S
strange propertyes 31
scripta 43
sapientes 59
somnia 76
[second column, right hand side]
T
Treachery 23
Termes proper 25
Tempora times 40
Trauaylinge 84
Times 86
V
Virtutes 4
Verba 6
Vegetatiua 36
[in a different hand] Virtutes cardinales 4
W
Writinge 43
Water 68
Wonders 80
X
Y
Z
",,http://publications.newberry.org/transcribe/files/original/case_ms_a15_179_0007_o2.jpg
Commonplace-book,http://publications.newberry.org/transcribe/scripto/transcribe/7/645,"Imperfections . [1 or slash]
[text in two columns]
[first column, left hand side]
Platoni deest ordo
Aristoteli Lucida perspicuitas
Virgilius Compilator.
Cicero tumidus, superfluus in 
repetitionibus, frigidus in
facetiis, lentus in principiis,
otiosus in digressionibus, flac=
cidus supinus.
Plautus reprehenditur ab 
Horatio.
Plinius flumen turbidu[s].
Ouidius indulgens genio
Salustius affectator.
Terentius alienoru[m] recitator
Homerus Epulo.
Aristotiles, gulosus delicatus.
Dion Tyrannus libidinosus.
In.
Liuio patiuinitas
Caesare infidelitas
Salustio obscuritas, verba
obsoleta.
Cicerone exanguitas, elixitas
Asinius pollio.
Julian Capella.
Scipio Emil: Somniculosus
Pomp. caput uno digito scalpeus.
Callias ebrius
Ismenus tibicen
Alcibiades iactator
Crobilas Coqnus.
[second column, right hand side]
Alexander hated
Perdiccas warlikenes
Lisimachus aucthority
Seleucus valiancy.
Antigonus liberality
Attalus portlynes.
Ptolomeyes prosperity.
Seneca arena sine calce
Varro porcus.
Macrobius impudens.
[ampersand symbol?] Ould writers errors see Sauil
his notes on Tacitus fol 13.19.
Calu[?]s Ciceroni visus ex=
auguis et attritus
Brutus otiosus et disiunctus
Cicero Caluo bisus solutus
et enerbis.
Bruto fractus et elumbis.
works unperfected.
Disaguedoro for nauegatio[n]
from the east to ye west in Nicaragua
Nicanor from Mare Caspiu[m?]
to exinum.
Egypts fro[m] Nilus to ye red sea
I.es from midland sea to ye red.
Romanus More a. [9] miles
from Nombre dedios to panonia
","Imperfections
Plato lacks order
Aristotle [has] bright clarity
Vergil a compiler.
Cicero swollen, verbose with
repetitions, cold in jokes slow in beginnings,
leisurely in digressions, flac-
cid flat.
Plautus is criticized by
Horace.
Pliny a cloudy river.
Ovid mild in character
Sallust impactful.
Terence a reciter of others
Homer for a banquet.
Aristotle a delicate talker.
Dion a lustful tyrant.
In.
Livy pativinity
Caesar disloyalty
Sallust obscurity, 
archaic words.
Cicero bloodlessness, boiled out
Asinius Pollio.
Julian Capella.
Scipio Aemilianus: drousy
Pompey shaving his head with one finger.
Callias drunk
Ismenuus flute player
Alcibiades braggart
Crobilas a cook.
Alexander hated
Perdiccas warlikeness
Lisimachus authority
Seleucus valiancy
Antigonus liberality
Attalus portlynes
Ptolomeyes prosperity:
Seneca arena without goal
Varro pig
Macrobius shameless
[symbol: paragraph?] Ould writers errors see Sauil
his notes on Tacitus fol 13.19.
Calvus seemed to Cicero
bloodless and worn out
Brutus leisurely and disjointed
Cicero to Calvus seemed lax
and without energy.
to Brutus broken and weak.
Works Unperfected
Disaguedoro for nauegatio[n][navigation]
from the east to ye west in Nicaragua
Nicanor from Mare Caspium [Caspian Sea]
to Euxinum. [Black Sea]
Egypt from Nilus to ye red sea
I.es from midland sea to ye red.
Romanus Morea.   5 miles
from Nombre de dios to panonia [Panama]



",http://publications.newberry.org/transcribe/files/original/case_ms_a15_179_0009_o2.jpg
Commonplace-book,http://publications.newberry.org/transcribe/scripto/transcribe/7/646,"[text in two columns]
[first column, left hand side]
Grammaticus perversus
poeta vanilogus.
Historicus mendax
Rhetor palpo
Memoriographus ostentator
Dialecticus litigiosus
Sophista perturbator
Lullista Iinguax
Arithmeticus Sortilegus
Musicus lasciuus.
Saltator impudicus
Geometor iactator
Cosmographus erro.
Architectus perniciosus
Nauta pirata
Astronomus fallax
Magus flagitiosus
Phisicus somniator
Metaphisicus portentosus
Ethicus morosus.
Politicus iniquus.
Princeps Tyrannus.
Magistratus oppressor.
populus seditiosus
sacerdos scismaticus
Monachus superstitiosus
oeconomus prodigus
Mercator falsi iurius
Agricola seguis
Pastor abigens
Venator latro
Miles praedo
Nobilis exactor.
Medicus occisor
pharmacopola beneficus
Coquus helluo
Alchimista impostor
[second column, right hand side]
Iuris consultus versipelles
causidicus sceleru[m] protector
Iudex venalis
Theologus Hereticus &amp;
Non
Socratis ignorantia scientia
Anaxagorae tenebrae lux
Democriti puteus virtus
Empedoclis insania prudentia
Diogenis dolu[m] pietas
Carneadis stupor sensus.
Aristoteles impius
Auerroes perfidus
Plato sup[er]stitiosus.
structor praeceps
cursor obliuiosus
sophista ambitiosus
Monachus Saturus
Juliani hipocrisis
Caligulae crudelitas
Heliogabali libido
Dionisij sacrilegiu[s]
Bembus historyes faultes [faultis?]. [Ly..s?]
Epist. Cent.2 epist.61.
Grauelled in speech.
Heraclytus before Seuerus
Talthibius &amp; Euribates Agame[m]ne
Theophrastus Areopagites
Oculos Argi
manus Briarei
Sphrigaru[s] [Sphingarus?] Ungues
per intia Laonirdontis
Ulissis argutias
Simonis fallacias
fidem polymuestoris
","Grammatical adherents
Poet [vain-talker?]
Historicall liar
Rhetorician coaxing
[Memoir-writer?] boaster
Disputer quarrelsome
Sophist troublemaker
Llullist [unfair?]
Arithmetician prophetic
Musician wanton
Dancer immodest
Geometer [thrower?]
Cosmographer wanderer
Architect pernicious
Sailor pirate
Astronomer fallacious
Magician shameful
Physicist dreamer
Metaphysician [portentous?]
Ethicist [capricious?]
Politician uneven [crooked?]
First in order, monarch [Prince, tyrant?]
Magistrate oppressor
People [popular figure?], seditious
Priest/priestess separatist
Monk soothsayer
Housekeeper wasteful
Merchant [false witness?]
Farmer lazy
Shepherd, [drives off?]
Hunter, [bandit?]
Soldier plunderer
Noble expeller
Surgeon slayer
Drug-seller generous
Cook glutton
Alchemist deceiver
second column]
Lawyer skin-changing
Advocate criminal-protector
Judge buyable
Theologian heretic and
Not
Socrates ignorance science
Anaxagoras darkness light
Democritus [pit?] manliness 
Empedocles insanity foresight
Diogenes malice piety
Carneades numbness feeling
Aristotle impious
Averroes dishonest
Plato superstitious
Builder rash
Courier oblivious
Sophist ambitious
Monk [about to give birth?]
Julians hypocrisy
Caligulae cruelty
Heliogabali libido
Dionysius sacrilege



",http://publications.newberry.org/transcribe/files/original/case_ms_a15_179_0010_o2.jpg
Commonplace-book,http://publications.newberry.org/transcribe/scripto/transcribe/7/647,"[text in two columns]
[first column, left hand side]
Pietate[s] Pigmalionis
Phalari cruentior
Mida cupidior
Tiberio callidior
Caio periculosior
Claudio socordior
Nerone impurior
Galba auarior
Othone audacior
Vitellio sumptuosior
Domitiano truculentior
passions serue tp[?] vertues
Montague. fol. 509
Alexander his head upo[n] on side
Alcidbiades spake nicely
Jul. Caesar skrersed [skretsed?] his head wth
on finger.
Cicero rinsed his nose.
writers each rep[re]hendinge other 
politiani epla 113
Agaynst Plato. See Atheneus.
Silkwormes brought in Justini=
ans time by 2 Monkes fro[m]
Persia to Constantinople
Crusius History 2-3-9
2 Italians and on fine 2 Spaniardes  &amp;
on proude 2 French and on the pox
2 dutch and on Drunke 2 Scotts and on
a trayter, 2 Jwish and on lousy
2 welsh and on a Gentlema[n] 2 English
and on a thiefe or a pyrat./
[second column, righ hand side]
Rusticus impurus et factiosus
Oppidanus fallax et auarus
magistratus munera et prosopolepsia[m] dilig.
Nobilitas luxu[s] et superbiam
Miles stipendium et praedam
Ecclesiastici praeter pompam ecclesi=
asticam, vix quicquam ecclesiae habent,
Barthol. Georgieuiz de Moribus Turk
Turca vitia sua domi deponit.
Christianus assumit.
In castris Turcaru[m] nullae deliciae
arma tantumodo et necessarius victus.
In cast. Ch. luxus er. [est?]
Hungarus Latrocinatur
Hispanus praedatur
Germanus potat
Boemus stertit
Polonus oscitat
Italus libidinatur
Gallus cantat
Anglus lurcatur
Scotus helluatur
militem qui moribus miles sit
vix ullum reperias
",,http://publications.newberry.org/transcribe/files/original/case_ms_a15_179_0011_o2.jpg
Commonplace-book,http://publications.newberry.org/transcribe/scripto/transcribe/7/649,"Artes
[several text blocks in two columns, most with separate title]
[first column, left hand side]
Astrologia
[image: an elaborate 4, like the symbol for Jupiter/Tin followed by Cu and a bracket containing the following five:]
[image: symbol for Saturn/Lead which looks like a cross between a ""t"" and a ""h""]  Judaeu[s?]
[image: circle with arrow pointing to the right] Chaldaeu[s?]
[image: symbol for Venus, a circle with a cross at the bottom] Saracenu[s?]
[image: symbol for Mercury, a circle with a cross at the bottom and two horns at the top] Christianu[s?]
[image: a crescent moon] Antichristianu[s?]
Artes mutuantur inbice
Dialecticus a Grammatico partes
orationis.
Rhetor a Dialectico argumentationis
locos
Poeta a Musico mensuras
Geometer ab Arithmetico pro=
portiones
Literaru[m?] Inventores.
Moses Hebreas Atticas et
Phoenices
Nicostratus Latinas
Abraha[m] Chaldaicas
Isis Egyptias
Galfila Geticas
Rhadamantus Assmas
Cadmus phoenicias
Quaestiones Gram[m]atical[e?]s Agrip.
de vanitat. 6.[Vlt.?]
Errores ex Gram[m]atica [inferphe...s?] C.
Naturae
Subiecta phisica
Cometantia[?] Mathematica
Supantia[?] Metaphisica .1 [possibly just a slash]
Res det...timae in Geometria
Ag. de ca. sci. fol. 3.
[second column, right hand side]
Sapores
[image: symbol for Mercury, a circle with a cross at the bottom and two horns at the top]  Acidu[s?]
[image: a crescent moon] amaru[m?]
[image: symbol for Venus, a circle with a cross at the bottom] salsu[m?]
[image: symbol for Saturn/Lead which looks like a cross between a ""t"" and a ""h""] acerbu[m?].
[image: circle with arrow pointing to the right] acrem
[image: circle with a dot in the center, the Sun] dulcem
[image: an elaborate 4, the symbol for Jupiter/Tin] austerum
Impugnarunt
Nycholaus Copernicus Ptolomaeu[s]
Theoph. Paracelsus Galenu[s] et
Aristoteles.
Petrus Ramus Aristoteles
Thechelles m asia sectam
Mathematicam.
Inbeue...st
Literas Phoenices
Po:esin heroica[s] Homerus
Dialectice[s] Zeno Eleates.
Rhetorice[s] Corax Siracusus
Apiaria Aristeus.
Sementem Tripholencus[?]
Leges Licurgus Solon.
Literaru[s] structuras, numeros,
mensuras et momenta pala=
medes.
Gram[m] in[?] per bighnes[?] see
Montaigue f. 468.
Paynters and grauers, in[?] onli ned[?]
say in[?] theyr inscriptions fecit
but faciebat . as though they
were not perfect.
290 in[?] circumference of a circle
is 60 in[?] Diameter.
Divisio[n] of Numbers Cassi...[?]
fol. 902 vol 2
",,http://publications.newberry.org/transcribe/files/original/case_ms_a15_179_0013_o2.jpg
Commonplace-book,http://publications.newberry.org/transcribe/scripto/transcribe/7/650,"Hippias omnia qua habuit
appe ficit. Apf. maw. [last letter is similar to a ""w""/""um""] [abbreviation superscript][um]. 187
Magnus duke of Meckel=
burge delighted to play 
the Barbor . Hist Brem 266 [superscript]
Astrology.
ptolomy. Guido Bonatus.
Bencorat Zahel Messahalach.
Albohali. Hali-Aben-Razehell.
","All of which had hippias
vated desired. [last letter is similar to a ""w""/""um""] [abbreviation superscript][um]. 187
Great Duke of Meckel =
Burge delighted to play
through Barbor. Hist Brum 266 [superscript]
Astrology.
Ptolomy. Guido Bonatti.
Bencorat Zahel Messahalach.
Albohali. Hali-Aben-Razehell.



",http://publications.newberry.org/transcribe/files/original/case_ms_a15_179_0014_o2.jpg
Commonplace-book,http://publications.newberry.org/transcribe/scripto/transcribe/7/651,"Vertues [foliation]4
Virtutes pugnantes
Liberalitas parsimonia
Magnanimitus parsimonia
Misericorda Justitia
Contemplatio minister[superscript abbreviation]um
Mercy
princes sparing prisoners.
Seleucus, Demetrius
Hue Capet, Chilperic
Henry .1. Rob[abbreviation: er]t of Normandy
Christiern K. of Denmark
his Cozen.
Eliz. Q. of Scotts.
Philip of Milayn. Alfonsus.
Edward 3. John of France.
Diogenes opposuit
perturbationibus ratione[m]
fortunae confidentiam
legibus naturam
Tributu[auperscript abbreviation] [m] Stultoru[superscript abbreviation][m] Alexandriae
pendebant Astrologi Suidas
fol. 182.
Contrary Vertues
Prudentia Simplicitas
Benignitas grauitas
See organe[m] Repub. [?]
[in a different hand:]
Prudentia dirigit, justitia corrigit
temperantia abstinet, fortitudo susti=
net sed horu[?] maxima &amp; prudentia
haec [enime?] justitiam informat tempe=
rantiam moderatur, &amp; fortitudinem
deist[?]. justitiae regulas dat prudentia,
limites temperantiae [word blackened out] ponit,
fortitudine fraena [froena?] in...cit: sine
prudentia[m] justitita no est - alijs,
temperantia nobis inst ipsis, 
nobis inst ipsos &amp; alijs fortitudo.
",,http://publications.newberry.org/transcribe/files/original/case_ms_a15_179_0015_o2.jpg
