Item title,Item link,Transcription,Translation,Image link
Italian Religious Broadsides,http://publications.newberry.org/transcribe/scripto/transcribe/44/22379,"[image: statue of Saint Peter] NELLA FESTIVITA' [image: statue of Saint Paul]
DI
S. ANDREA 
APOSTOLO. 
Solennizzata nella chiesa di S. Angelo in Pesca- 
ria da Pesciouendoli di Roma. 
[image: bouquet of flowers] [image:St. Andrew] [image: bouquet of flowers]
SONETTO.
V'E chi del senío í calidi Torrenti 
Corre á solcar senza temer naufragi, 
Altri à pescar, sen và delitie, &amp; agi, 
Fugitiui piacer, falsi contenti.
Chi fermando sú l’oro í voti intenti 
Per l'acquisto di lui soffre disagi, 
Altri in mezzo alli morti, e frà li stragi 
Cerca di vano honor breui momenti. 
Ah folli, è doue gite? è qual furore 
Vi conturba la mente? homai si veda, 
Che ingannato è il pensier, tradito il core.
Alme il pescar d’Andrea vi si concede: 
Mare é il Mondo, esca é Dio, l'huom Pescatore,
Hamo è la Croce, è'l Paradiso é preda. 
[horizontal divider line]
IN ROMA, Per l'Herede di Francesco Felice Mancini. 1658. 
CON LICENZA DE SVPERIORI.
","ON THE FEAST
OF
ST. ANDREW
APOSTLE.
Solemnized in the church of St. Angelo in Fishery
by Fishmongers of Rome.
SONNET.
THERE IS he who from the direction of hot Torrents
Runs to plow without fearing shipwrecks,
Others to fish, going away to delights, &amp; comforts,
Fugitive pleasures, false joys.
He who resting on gold his intended vows
For the acquisition of which suffers discomforts,
Others in the midst of the dead, and among the torments
Seeks in vain brief moments of honor.
Ah madmen, and where are you going? and what frenzy
Disturbs your mind? by now one sees,
That deceived is the mind, betrayed the heart.
Souls the fishing of Andrew grants you:
Sea is the World, bait is God, the man Fisher,
Hook is the Cross, and Paradise is prey.
IN ROME, By the Successor to Francesco Felice Mancini. 1658.
WITH PERMISSION OF THE AUTHORITIES.

",http://publications.newberry.org/transcribe/files/imports/case_wing_zc_93_185_fl_001_001_o3.jpg
Italian Religious Broadsides,http://publications.newberry.org/transcribe/scripto/transcribe/44/22380,"AL GLORIOSO 
S. ANDREA 
APOSTOLO 
SONETTO. 
DEDICATO ALL'EMINEN. ET REVEREN. SIG.
CARD. GINETTI
Protettore della Università de’ Pesciouendoli.
SE ANDREA nel mare ondosi inganni ordìo 
Lunga stagione à lo squammoso armento,
Abbandonato il liquido elemento 
Nutrì poi nel suo sen più bel desio; 
Le spiaggie Galilee poste in oblìo, 
Moste à le scithie sponde il piè contento, 
Onde à più nobil pesca allhora intento 
Si diè vanto pescar l'anime à DIO.
German’ di Piero, e di sua Croce erede 
Mentre il Verbo Divin’noto rendea, 
A gloriosa morte al fin ei cede; 
E s’Ami al Popol muto egli tendea, 
A Popol cieco aprì gl'occhi à la fede 
E d’alme pescator divenne ANDREA. 
In Roma, Nella Stamparia d’Ignatio de Lazari 1660. Cen Licenza de’Superior

",,http://publications.newberry.org/transcribe/files/imports/case_wing_zc_93_185_fl_001_002_o3.jpg
Italian Religious Broadsides,http://publications.newberry.org/transcribe/scripto/transcribe/44/22381,"[image: angels with trumpets on either side of a coat of arms]
AL GLORIOSO 
S. ANDREA 
APOSTOLO. 
Per la sua Festa Celebrata nella Chiefa di S. ANGELO in Pescaria 
dalli Pesciouendoli di Roma. 
SONETTO 
Dedicato all’Eminentissimo, e Reverendissimo Signore, il Signor 
CARD. GIROLAMO GASTALDI. 
Ad Instanza del Signor Vincenzo Conti. 
DAl Mar di Galilea l’umide Prede 
Toglie tua Man con avidoconsiglio; 
E in questo amaro Egeo pesca la Fede, 
Arco a’ di cui Trionsi erge ogni Ciglio. 
Poscia là ti riuolgi, oue si vede 
Del tuo Germano il provido Naviglio, 
Che d’Argonauti Eterni è fatto Erede 
In grembo ancor d’un liquido periglio. 
E parli incontra i Vortici Tiranni; 
Io del Patrio Giordan sù l’alta foce 
Per lo calle me ’n vò de i dolci affanni. 
E tuoni, alzando al Ciel l’eccelsa Voce; 
Ah, per fuggir del Mondo i chiari Inganni, 
Serva à Pietro la Nave, e à mè una CROCE. 
[horizontal line]
IN ROMA, Per Marc’Antonio, &amp; Oratio Campana 1684. Con licenza de'Superiori.

",,http://publications.newberry.org/transcribe/files/imports/case_wing_zc_93_185_fl_001_003_o3.jpg
Italian Religious Broadsides,http://publications.newberry.org/transcribe/scripto/transcribe/44/22382,"NEL SOLENNEZARSI LA FESTA
DELLA GLORIOSA
S A N T A N N A 
Dalli Parafrenieri nella loro Chiesa in Borgo Pio, 
SONETTO, 
DEDICATO ALL’EMINENTISS. E REVERENDISS. SIGNOR 
CARD. ALDERANO CYBO 
PROTETTORE DEGNISSINO. 
SEMINI il prisco Adamo all'Uom le spine 
Onde fertile sia di Dumi il Suolo; 
Sia la Terra infeconda, e senza brine, 
E neghi le sue pioggie avaro il Polo . 
Ch’oggi dello stupor oltre il confine 
Da un sterile terren bandito è il duolo, 
Mentre avare non son Gratie Diuine,  
Se fecondano un sen’un frutto solo . 
Solo frutto è MARIA, che gratie aduna, 
Solo frutto, che d’ANNA è illustre Prole, 
Solo, che in casto Sen presto la Cuna. 
E ad arricchire la Terrena Mole 
ANNA fù Stella al Suol MARIA fu Luna, 
L'una diede l’AURORA, e l’altra il SOLE, 
L'Incognito negl'Innestati

In ROMA, Per Paolo Moneta . MDCXCII. 
Con licenza de’ Superiori .

",,http://publications.newberry.org/transcribe/files/imports/case_wing_zc_93_185_fl_001_004_o3.jpg
Italian Religious Broadsides,http://publications.newberry.org/transcribe/scripto/transcribe/44/22383,"IN LODE DEL GLORIOSO 
S. ANTONIO DI PADOA 
Nella Festa del Santo in Araceli 
DISTICO. 

Candida quid gestas ANTONII lilia? Venor;
Cor mihi rete, cibus lilia, praeda Deus. 
SONETTO ALLUDENTE AL DISTICO. 
CON preggio ANTONIO, e con tltol ti onora 
Di Dispensier di Dio il nostro e figlio. 
Ci è nota la cagion&#160;: Tu da periglio 
Salvi qualunque, che il tuo Asilo implora . 
Ma non sappiamo , perchè in man tal’ora 
Ti arda la fiamma, ò ti biancheggi il giglio, 
E sempre Bailo dell’Eterno figlio, 
Sembri Prometeo, ó ti assomigli à Flora. 
Forsi in cifra dir vuoi: mira, ò mortale,
Col fuoco ardente, ó con il bianco fiore 
Fei caccia dell'Eterno in spoglia frale. 
Impara tù da me, se (Cacciatore 
Di Dio) vuoi farne preda, assai tii vale 
Fiamma d’affetto, ò purità di cuore . 


F. A. D. M. 

IN ROMA , Per il Moneta MDCLIV. Con lic.de' Sup.

",,http://publications.newberry.org/transcribe/files/imports/case_wing_zc_93_185_fl_002_001_o3.jpg
Italian Religious Broadsides,http://publications.newberry.org/transcribe/scripto/transcribe/44/22384,"[margin comprised of stylized flowers]
AL GLORIOSO
S. ANTONIO
DI PADOA
Nell'ingresso della Serafica Religione del
gran Patriarca S. Francesco.
[image of two branches in a bracket]
SONETTO.
E[Heavily stylized] Gl'acerbi dolori, e l'aspre pene
D'haure ANTONIO il tuo Signor offeso,
Tal foco haueano in te d'amore acceso,
Che n'ardea'l petto, e ne bollian le vene;
E per seguir da le paterne arene
Il Serafico Duce, il camin preso,
Da un tratto à nudo piè l'alta Pirene.
Le stanche arresta, e indebolite piante,
E frena il volo à i toui pensieri ardenti,
Nè'l defio di patir vada più inante,
Se'l maggior d'ogni duolo è il duol, che senti:
Mentre con chiodi, lance, espine tante
Hai GIESV' in cor con tutti i fuoi tormenti.
[line]
In ROMA, Per il Mascardi, 1655. Con licenza di Superiori.

",,http://publications.newberry.org/transcribe/files/imports/case_wing_zc_93_185_fl_002_002_o3.jpg
Italian Religious Broadsides,http://publications.newberry.org/transcribe/scripto/transcribe/44/22385,"


al glorioso 
|iks ANT ANTONIO 
DI PADOVA- 
SONETTO 
DEDICATO ALL'£MIN.“’ E REVER»» PRENCIPE 
liD. P A S Q^y A L Eli 
CARDINAL DARAGONA. 
Ompadel Tago^efulmineàldblio 
^rcaàfnaarrici,òc Argineàgli errori, 
(^iete à 1 altrui penar , Tromba di Dio , 
\ 7 iuerti al Ciel , morirti al mondo impìo , 
^dacquaron le palme i tuoi fudori. 
fugarti, ornarti il crin d allori , 
Auerno, e tfonfàùi pio. 
Ah dunque in lènoal gaudio hornoi rimira 
' 'hKfz J^ipercofsi mortali in mar di pianto, 
A^^ ONIO , e Ipunta ogni {àetta à lira . 
(jira quà giù le luci , e fia tuo vanto 
()fS*ir Pace à la terra, e chi fofpira 
NA^ca à le glorie, eticonlàcri il canto. 
Di V oftra Emimnzj* 
Humiliniino ic deuotinjmoSetnicore 
Carlo Mengarelli . 

In Roma, Per Fritnetfeo Moneta , MDCLXllI. Con licenza de' Superiori
","TO THE GLORIOUS
SAINT ANTHONY 
OF PADOVA
SONNET
DEDICATED TO THE [EMIN.MO.] AND [REVER.MO] [first name...PRENCIPE]
D. PASQUALE
CARDINAL OF ARAGONA

",http://publications.newberry.org/transcribe/files/imports/case_wing_zc_93_185_fl_002_003_o3.jpg
Italian Religious Broadsides,http://publications.newberry.org/transcribe/scripto/transcribe/44/22386,"S . ANTONIUS DE PADVA FESTUM HVIVS [HEA?] TT SANCTI CELEBRATUM IN ILE XIII - IVNII -  PER LA FESTIVITA' DI SANT ANTONIO DA PADOVA Celebrata nella Basilica di SS. Dodici Apostoli . SONETTI DEDICATI AL REVERENDISSIMO PADRE MAESTRO ANTONIO AVERSANA D' AVERSA Minstro Generale di tutto l'Ordine de'Minori Conuentuali di S.FRANCESCO. Domenico Antonio Ercole  D. D. D. S. ANTONIO, nauiga per Marocco ad acquistare il Martirio&#160;; viene dal vento trasportato in Sicilia . ANtonio hor vanne . Ecco á vólanti tele Fischia Coro, Euro soffia, arride Noto , Nel salso argcnto,accresce il cor diuoto Sete di morte, Idoprisia di vele . Vanne sú'l Ara al Tingittan crudele , Sotto barbara scure offriti in voto , Dé vanne omai , e al Afre arene á nuoto Di Mostri circoncisi Ostia fedele . Má ferma il lieue volo Abere alato, Che hauer l'Occaso in Africani Auelli Non dié del Cielo Ispan l'Astro adorato . Offre al lume paciero i lidi imbelli (Trinacria) e del suo ardor prescriue il fato Calamiite focose i Mongibellli. Dell' Etneo.  Sant' ANTONIO in un Bosco conuerte tredici Assas sini alla Fede. DI folta Ardenna entro gl'orror crescenti Volgi impauido Antonio il pié sagrato,  Né temer d'empio Cacco i rei spauenti Mentr'é di fede il tuo gran braccio armato Vattene Eroe, che frá le colpe ardenti Soggiorna di Sciron stuolo adiraro , E scocchi il labro tuo dardi eloquenti  E nel petto di lor suena il Peccato . Má che&#160;? Pugno con la falange ardita , E mcntr'ella di pianti asperge il suolo , Dell'lEterea Maggion le vie gl'addita . O' recondito arcan&#160;? n'acquista al Polo Tredici Antonio, al hor che Christo in vita Volse degno del Cielo un Ladro solo. Dell' Etneo.  IN ROMA, PER DOMENICO ANTONIO ERCOLE.  M DC LXXXV. CON LICENZA DE' SUPERIORI.

",,http://publications.newberry.org/transcribe/files/imports/case_wing_zc_93_185_fl_002_004_o3.jpg
Italian Religious Broadsides,http://publications.newberry.org/transcribe/scripto/transcribe/44/22387,"IN LODE DEL GLORIOSO S BARTOLOMEO APOSTOLO ALL EMINENTISS E REVERENDISS SIGNOR IL SIGNOR CARDINAL CHRISTOFARO V  D M A N M Jhff Ma gdU SONETTO GIVSEPPE BGADA D D D  I Borea a i cffi corbidi e inclementi Airhorche il fuol di fredde neui inonda Lelce feherno di geLdiardimenti Del verde crin Ti nc ulta fronte sfronda    eKj de y Sr Ma fe dolce Ragion con Man tacenti Ritorna allherbe i fiori il corfo allonda Scofsi dal ln gfliorridl ghiacci algenti  Di pi fulgida malto il crin circonda   leriPQt  WySW dJ KfSf fcSLP dJW Tal tu Bartolomeo di regia voglia AUire vltrici corragiofo Icherno Per non perder la fe perdi la fpoglia  Ma che  de fuoi rigor gi pento il verno  Pianta immortai della celefte foglia V erti ricco di llelle vn manto eterno   TiOM A Per lreii S l orlelletti  MDC LX CON licenza DE SVPERIORL

",,http://publications.newberry.org/transcribe/files/imports/case_wing_zc_93_185_fl_003_001_o3.jpg
Italian Religious Broadsides,http://publications.newberry.org/transcribe/scripto/transcribe/44/22388,"NELLA SOLENNITA' DI SAN BARTOLOMEO APOSTOLO Per la Festa Celebrata nella fua Chiefa in Roma dalla Natione Bergamasca.  SONETTO DEDICATO ALL' EMINENTISS , E REVERENDISS SIGNORE , IL SIG. CARD PIETRO OTTOBONO PROTETTORE VIGILANTISSIMO. Ad Istanza del Signor Gioseppe Testorij SAGRESTANO.  Il S A N T O nell' essere scorticato , cosi fanella .  D' Empietade affilata ebri gli acciari Traggan su' membri miei solchi inumani , E piouendo  a me intorno vmidi brani , A ber le tirannie la Terra impari . Bracci idolatri di pietade ignari Ardan questa mia Spoglia a' Numi insani&#160;; Che i sacrileghi fochi in pianti vmani Si cangieran su' profanati Altari . Má nó:  Spoglia , che meco e nacque, e visse Da que' Sassi crudeli or tolga il Cielo , E per trofeo di Fede a gli Astri affisse.  O' se la Fé , per cui mi struggo in Zelo , Bambina entro le fascie ancor vagisse , Sú le Cune di lei la stenda in Velo . IN ROMA, Nella Stamperia di Marc' Antonio , &amp; Orazio Campana 1687. CON LICENZA DE' SVPERIORI .

",,http://publications.newberry.org/transcribe/files/imports/case_wing_zc_93_185_fl_003_002_o3.jpg
